name,description,active
PARCHE PCX,Marcas de origen: PANESA,true
PARCHE MILENIUM,Marcas de origen: PANESA,true
PARCHE CX,Marcas de origen: PANESA,true
PARCHE MILLENIUM,Marcas de origen: PANESA,true
PARCHE KX,Marcas de origen: PANESA,true
PARCHE CB,Marcas de origen: PANESA,true
INFLADORES Y MEDIDORES,Marcas de origen: PANESA,true
CEMENTOS Y SOLUCIONES,Marcas de origen: PANESA,true
PARCHE RUBBER SEAL RADIAL,Marcas de origen: PANESA,true
PARCHE RUBBER SEAL HEXAGONAL,Marcas de origen: PANESA,true
PARCHE RUBBER SEAL PARA CAMARA,Marcas de origen: PANESA,true
PARCHE RUBBER SEAL REDONDO CON CUERDA,Marcas de origen: PANESA,true
PARCHE RADIAL TIPO USA,Marcas de origen: PANESA,true
VALVULA RUBBER SEAL PARA CAMARA,Marcas de origen: PANESA,true
VALVULA CON COJIN RUBBER SEAL PARA CAMARA,Marcas de origen: PANESA,true
PARCHE FLOTAD,Marcas de origen: PANESA,true
AL,Marcas de origen: VERMAR,true
SVR,Marcas de origen: VERMAR,true
V,Marcas de origen: VERMAR,true
XRP,Marcas de origen: VERMAR,true
XP,Marcas de origen: VERMAR,true
CEMENTO,Marcas de origen: VERMAR,true
PARCHES VIPAL,Marcas de origen: VERMAR,true
LLAVES DE ARTILLERIA CON DOS BROCAS,Marcas de origen: CENTURY,true
LLAVES DE ARTILLERIA CON UNA BOCA,Marcas de origen: CENTURY,true
"LLAVES EB ""L"" Y MANERALES",Marcas de origen: CENTURY,true
Adaptadores,Marcas de origen: CENTURY,true
DADOS CON CUADRO INTERIOR,Marcas de origen: CENTURY,true
BARRAS/MANERALES,Marcas de origen: CENTURY,true
DADOS CON DOBLE CUADRO,Marcas de origen: CENTURY,true
"DADOS CON MANDO DE 1/2""",Marcas de origen: CENTURY,true
"DADOS CON MANDO DE 3/4""",Marcas de origen: CENTURY,true
"DADOS CON MANDO DE 1""",Marcas de origen: CENTURY,true
HASTA AGOTAR EXISTENCIAS,Marcas de origen: CENTURY,true
TUERCAS Y BIRLOS PARA COCHE,Marcas de origen: CENTURY,true
ADAPTADORES Y TUERCAS,Marcas de origen: CENTURY,true
CAPUCHONES,Marcas de origen: CENTURY,true
TUERCAS,Marcas de origen: CENTURY,true
CENTRO DE MAZA OCTAGONAL,Marcas de origen: CENTURY,true
CENTRO DE MAZA HEXAGONAL,Marcas de origen: CENTURY,true
